GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360050115021,360050115021,Block Group 1; Census Tract 115.02; Bronx County; New York,Bronx,1538,482,443,0.9190871369294604,506,359,0.7094861660079052,288,0.1872561768530559,159,0.1033810143042913,15,0.0097529258777633,308,0.200260078023407,0,0.0,1179,0.7665799739921977,222,0.4605809128630705,36005011502,3928,1509,0.3841649694501018,3935,866,0.2200762388818297,3935,54,0.0137229987293519,205156,0.205156,7496.734192516914,0.6307968399309728
360050117011,360050117011,Block Group 1; Census Tract 117.01; Bronx County; New York,Bronx,1262,474,450,0.9493670886075948,443,276,0.6230248306997742,369,0.2923930269413629,120,0.0950871632329635,0,0.0,207,0.1640253565768621,0,0.0,1022,0.8098256735340729,16,0.0337552742616033,36005011701,1262,199,0.1576862123613312,1262,295,0.233755942947702,1262,79,0.0625990491283676,86067,0.086067,14662.995108462012,0.5252465089580228
360050118001,360050118001,Block Group 1; Census Tract 118; Bronx County; New York,Bronx,2721,549,217,0.3952641165755919,942,123,0.1305732484076433,429,0.1576626240352811,235,0.0863653068724733,1516,0.5571481073134877,48,0.0176405733186328,115,0.0422638735758912,837,0.3076074972436604,0,0.0,36005011800,3823,460,0.120324352602668,5027,586,0.1165705191963397,5027,210,0.041774418142033,570057,0.570057,4773.206889837332,0.7208196935298825
360050119001,360050119001,Block Group 1; Census Tract 119; Bronx County; New York,Bronx,2198,699,699,1.0,958,591,0.6169102296450939,488,0.2220200181983621,422,0.191992720655141,182,0.0828025477707006,1040,0.4731574158325751,0,0.0,809,0.3680618744313012,146,0.2088698140200286,36005011900,5842,1343,0.2298870249914412,5826,1281,0.2198764160659114,5826,99,0.0169927909371781,56548,0.056548,38869.63287826272,0.7295669775493159
360050121011,360050121011,Block Group 1; Census Tract 121.01; Bronx County; New York,Bronx,1246,377,354,0.9389920424403184,384,333,0.8671875,359,0.2881219903691814,151,0.1211878009630818,9,0.0072231139646869,230,0.1845906902086677,0,0.0,998,0.8009630818619583,81,0.2148541114058355,36005012101,3293,1067,0.3240206498633465,3293,731,0.221986030974795,3293,180,0.0546614029760097,48195,0.048195,25853.304284676833,0.8343776037403405
360050121021,360050121021,Block Group 1; Census Tract 121.02; Bronx County; New York,Bronx,1429,572,558,0.9755244755244756,399,268,0.6716791979949874,320,0.2239328201539538,293,0.2050384884534639,17,0.0118964310706787,342,0.2393282015395381,0,0.0,1027,0.7186843946815955,81,0.1416083916083916,36005012102,1399,557,0.3981415296640457,1429,530,0.370888733379986,1429,80,0.0559832050384884,49643,0.049643,28785.528674737627,0.8392909289445314
360050123001,360050123001,Block Group 1; Census Tract 123; Bronx County; New York,Bronx,2111,857,857,1.0,840,557,0.6630952380952381,466,0.2207484604452866,181,0.0857413548081477,0,0.0,1452,0.6878256750355282,14,0.0066319279962103,645,0.3055423969682614,73,0.0851808634772462,36005012300,4712,1511,0.3206706281833616,4712,1358,0.2882003395585739,4712,249,0.0528438030560271,59777,0.059777,35314.58587751142,0.7787719203938848
360050125001,360050125001,Block Group 1; Census Tract 125; Bronx County; New York,Bronx,2746,997,839,0.8415245737211635,1067,406,0.380506091846298,1030,0.3750910415149308,128,0.0466132556445739,18,0.0065549890750182,574,0.2090313182811362,0,0.0,2116,0.7705753823743627,320,0.320962888665998,36005012500,3989,1188,0.2978190022562045,4001,571,0.1427143214196451,4001,190,0.047488127968008,100794,0.100794,27243.685139988494,0.8272535269312526
360050127011,360050127011,Block Group 1; Census Tract 127.01; Bronx County; New York,Bronx,1263,447,412,0.9217002237136466,380,253,0.6657894736842105,335,0.2652414885193982,166,0.1314330958036421,8,0.0063341250989707,364,0.288202692003167,0,0.0,871,0.6896278701504355,181,0.4049217002237136,36005012701,2102,706,0.3358705994291151,2129,579,0.2719586660403945,2129,151,0.0709253170502583,40890,0.04089,30887.747615553923,0.8387589641326052
360050129011,360050129011,Block Group 1; Census Tract 129.01; Bronx County; New York,Bronx,1985,582,582,1.0,497,133,0.2676056338028169,509,0.2564231738035264,192,0.0967254408060453,32,0.0161209068010075,591,0.2977329974811083,0,0.0,1321,0.6654911838790932,46,0.0790378006872852,36005012901,4754,2143,0.4507782919646613,4921,1654,0.3361105466368624,4921,253,0.0514123145702093,79585,0.079585,24941.88603380034,0.7288954277787006
360050130001,360050130001,Block Group 1; Census Tract 130; Bronx County; New York,Bronx,1388,472,249,0.527542372881356,666,99,0.1486486486486486,40,0.0288184438040345,278,0.2002881844380403,345,0.2485590778097982,0,0.0,16,0.0115273775216138,1027,0.7399135446685879,72,0.1525423728813559,36005013000,1388,325,0.2341498559077809,1388,265,0.1909221902017291,1388,62,0.0446685878962536,116144,0.116144,11950.681912109108,0.8060995445712159
