GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate,TRACT_GEOID,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate,ALAND,land_area_sq_km,population_density_per_sq_km,ewm_accessibility_score
360810001011,360810001011,Block Group 1; Census Tract 1.01; Queens County; New York,Queens,3007,1399,1272,0.9092208720514652,1880,824,0.4382978723404255,353,0.117392750249418,305,0.1014299966744263,1382,0.4595942800133022,34,0.0113069504489524,876,0.2913202527435983,454,0.1509810442301297,70,0.0500357398141529,36081000101,4665,281,0.060235798499464,4665,486,0.1041800643086816,4665,0,0.0,253018,0.253018,11884.529954390597,0.6145808297461516
360810001021,360810001021,Block Group 1; Census Tract 1.02; Queens County; New York,Queens,2813,1396,1396,1.0,1918,1139,0.5938477580813347,467,0.1660149306789904,32,0.0113757554212584,1765,0.627444009953786,96,0.0341272662637753,635,0.2257376466405972,118,0.0419480981158905,85,0.0608882521489971,36081000102,6790,233,0.0343151693667157,6769,244,0.0360466834096616,6769,191,0.0282168710296941,51341,0.051341,54790.51829921505,0.6184646612974207
360810001031,360810001031,Block Group 1; Census Tract 1.03; Queens County; New York,Queens,35,21,21,1.0,35,35,1.0,0,0.0,0,0.0,21,0.6,0,0.0,14,0.4,0,0.0,0,0.0,36081000103,35,0,0.0,35,0,0.0,35,5,0.1428571428571428,184619,0.184619,189.57962073242732,0.6090984953327556
360810001041,360810001041,Block Group 1; Census Tract 1.04; Queens County; New York,Queens,281,26,26,1.0,38,34,0.8947368421052632,24,0.0854092526690391,27,0.096085409252669,30,0.1067615658362989,121,0.4306049822064057,0,0.0,130,0.4626334519572954,0,0.0,36081000104,281,178,0.6334519572953736,281,7,0.0249110320284697,281,48,0.1708185053380783,555546,0.555546,505.8086999096385,0.5960904075442817
360811008011,360811008011,Block Group 1; Census Tract 1008.01; Queens County; New York,Queens,733,207,60,0.2898550724637681,299,49,0.1638795986622073,254,0.3465211459754433,134,0.1828103683492496,319,0.4351978171896316,270,0.3683492496589359,0,0.0,57,0.077762619372442,0,0.0,36081100801,2911,143,0.0491240123668842,2911,405,0.1391274476125042,2911,318,0.1092408107179663,200256,0.200256,3660.314797059764,0.7761217398494153
360811008031,360811008031,Block Group 1; Census Tract 1008.03; Queens County; New York,Queens,2761,726,542,0.7465564738292011,970,409,0.4216494845360825,1017,0.3683448026077508,400,0.1448750452734516,104,0.0376675117710974,1067,0.3864541832669322,41,0.0148496921405287,1416,0.5128576602680188,133,0.1831955922865013,36081100803,4637,970,0.2091869743368557,4729,695,0.1469655318249101,4729,825,0.1744554874180587,187189,0.187189,14749.798332166954,0.8276349175722267
360811008041,360811008041,Block Group 1; Census Tract 1008.04; Queens County; New York,Queens,3524,917,551,0.6008724100327154,1447,406,0.2805805114029026,1173,0.3328603859250851,254,0.0720771850170261,715,0.202894438138479,2419,0.6864358683314415,2,0.0005675368898978,230,0.0652667423382519,0,0.0,36081100804,5213,466,0.0893919048532514,5308,500,0.094197437829691,5308,277,0.0521853805576488,271502,0.271502,12979.646558773047,0.6077138130920097
360810100001,360810100001,Block Group 1; Census Tract 100; Queens County; New York,Queens,1322,365,124,0.3397260273972602,722,152,0.2105263157894736,324,0.2450832072617246,159,0.1202723146747352,16,0.0121028744326777,88,0.0665658093797276,202,0.1527987897125567,409,0.3093797276853253,0,0.0,36081010000,3082,325,0.1054510058403634,3082,135,0.0438027255029201,3082,130,0.0421804023361453,90263,0.090263,14646.08975992378,0.5433201713570648
360811010021,360811010021,Block Group 1; Census Tract 1010.02; Queens County; New York,Queens,3837,776,78,0.1005154639175257,1267,80,0.0631412786108918,2109,0.5496481626270524,386,0.1005994266353922,3817,0.99478759447485,0,0.0,0,0.0,20,0.0052124055251498,0,0.0,36081101002,6071,860,0.1416570581452808,6071,865,0.1424806456926371,6071,147,0.0242134738922747,408237,0.408237,9398.952079306871,0.7680648883595348
360811010031,360811010031,Block Group 1; Census Tract 1010.03; Queens County; New York,Queens,1951,786,611,0.77735368956743,490,181,0.3693877551020408,750,0.3844182470527934,448,0.2296258329062019,797,0.4085084572014351,500,0.2562788313685289,0,0.0,447,0.2291132752434649,126,0.1603053435114503,36081101003,4188,807,0.1926934097421203,4188,417,0.0995702005730659,4188,33,0.0078796561604584,117596,0.117596,16590.700363957956,0.8184807579534262
360811010041,360811010041,Block Group 1; Census Tract 1010.04; Queens County; New York,Queens,2035,517,326,0.6305609284332688,442,203,0.4592760180995475,758,0.3724815724815725,324,0.1592137592137592,719,0.3533169533169533,665,0.3267813267813267,30,0.0147420147420147,561,0.2756756756756757,0,0.0,36081101004,5524,1582,0.2863866763215061,5627,949,0.1686511462591078,5627,233,0.0414074995557135,140585,0.140585,14475.228509442688,0.7758832761811173
