"","GEOID_TEXT","GEOID","NAME","borough","total_population","total_households","no_vehicle_households","no_vehicle_rate","total_workers_16_plus","public_transit_workers","public_transit_commute_rate","under_18_population","under_18_rate","age_65_plus_population","age_65_plus_rate","white_non_hispanic_population","white_non_hispanic_rate","black_non_hispanic_population","black_non_hispanic_rate","asian_non_hispanic_population","asian_non_hispanic_rate","hispanic_population","hispanic_rate","limited_english_households","limited_english_rate","TRACT_GEOID","tract_poverty_universe","tract_below_poverty_population","tract_poverty_rate","tract_disability_universe","tract_disabled_population","tract_disability_rate","tract_insurance_universe","tract_uninsured_population","tract_uninsured_rate","ALAND.x","land_area_sq_km","population_density_per_sq_km","fid","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","NAMELSAD","MTFCC","FUNCSTAT","ALAND.y","AWATER","INTPTLAT","INTPTLON","CORRECT_NYC_ALL_INDEX_SCORES_from_id","CORRECT_NYC_ALL_INDEX_SCORES_total_distance","CORRECT_NYC_ALL_INDEX_SCORES_walking_distance","CORRECT_NYC_ALL_INDEX_SCORES_transfers","CORRECT_NYC_ALL_INDEX_SCORES_travel_time_total","CORRECT_NYC_ALL_INDEX_SCORES_walking_time","CORRECT_NYC_ALL_INDEX_SCORES_wait_time_total","CORRECT_NYC_ALL_INDEX_SCORES_ewm_accessibility_score","CORRECT_NYC_ALL_INDEX_SCORES_ewm_accessibility_score_num"
"1",360050115021,360050115021,"Block Group 1; Census Tract 115.02; Bronx County; New York","Bronx",1538,482,443,0.9190871369,506,359,0.709486166,288,0.1872561769,159,0.1033810143,15,0.009752925878,308,0.200260078,0,0,1179,0.766579974,222,0.4605809129,36005011502,3928,1509,0.3841649695,3935,866,0.2200762389,3935,54,0.01372299873,205156,0.205156,7496.734193,3318,36,5,11502,1,"Block Group 1","G5030","S",205156,4120,40.8200657,-73.8865202,"o_360050115021",2411.007464,2177.966,0,38.26666667,36.78333333,1.283333333,0.8332805088,0.833
"2",360050117011,360050117011,"Block Group 1; Census Tract 117.01; Bronx County; New York","Bronx",1262,474,450,0.9493670886,443,276,0.6230248307,369,0.2923930269,120,0.09508716323,0,0,207,0.1640253566,0,0,1022,0.8098256735,16,0.03375527426,36005011701,1262,199,0.1576862124,1262,295,0.2337559429,1262,79,0.06259904913,86067,0.086067,14662.99511,858,36,5,11701,1,"Block Group 1","G5030","S",86067,0,40.815985,-73.8850646,"o_360050117011",2912.988757,1616.75,1,35.71666667,27.4,4.833333333,0.6406027111,0.641
"3",360050118001,360050118001,"Block Group 1; Census Tract 118; Bronx County; New York","Bronx",2721,549,217,0.3952641166,942,123,0.1305732484,429,0.157662624,235,0.08636530687,1516,0.5571481073,48,0.01764057332,115,0.04226387358,837,0.3076074972,0,0,36005011800,3823,460,0.1203243526,5027,586,0.1165705192,5027,210,0.04177441814,570057,0.570057,4773.20689,3233,36,5,11800,1,"Block Group 1","G5030","S",570057,0,40.8156896,-73.8019933,"o_360050118001",6833.696968,1060.674,0,44.86666667,17.86666667,4.3,0.8743000472,0.874
"4",360050119001,360050119001,"Block Group 1; Census Tract 119; Bronx County; New York","Bronx",2198,699,699,1,958,591,0.6169102296,488,0.2220200182,422,0.1919927207,182,0.08280254777,1040,0.4731574158,0,0,809,0.3680618744,146,0.208869814,36005011900,5842,1343,0.229887025,5826,1281,0.2198764161,5826,99,0.01699279094,56548,0.056548,38869.63288,8072,36,5,11900,1,"Block Group 1","G5030","S",56548,0,40.8227586,-73.8910593,"o_360050119001",2251.605558,1550.69,0,27.75,26.25,3.166666667,0.8785496615,0.879
"5",360050121011,360050121011,"Block Group 1; Census Tract 121.01; Bronx County; New York","Bronx",1246,377,354,0.9389920424,384,333,0.8671875,359,0.2881219904,151,0.121187801,9,0.007223113965,230,0.1845906902,0,0,998,0.8009630819,81,0.2148541114,36005012101,3293,1067,0.3240206499,3293,731,0.221986031,3293,180,0.05466140298,48195,0.048195,25853.30428,8073,36,5,12101,1,"Block Group 1","G5030","S",48195,0,40.8279533,-73.887696,"o_360050121011",1772.220303,977.038,0,21.45,16.58333333,1.1,0.9229859418,0.923
"6",360050121021,360050121021,"Block Group 1; Census Tract 121.02; Bronx County; New York","Bronx",1429,572,558,0.9755244755,399,268,0.671679198,320,0.2239328202,293,0.2050384885,17,0.01189643107,342,0.2393282015,0,0,1027,0.7186843947,81,0.1416083916,36005012102,1399,557,0.3981415297,1429,530,0.3708887334,1429,80,0.05598320504,49643,0.049643,28785.52867,5773,36,5,12102,1,"Block Group 1","G5030","S",49643,0,40.8260035,-73.8879696,"o_360050121021",1713.282303,918.1,0,20.45,15.58333333,2.1,0.9260981515,0.926
"7",360050123001,360050123001,"Block Group 1; Census Tract 123; Bronx County; New York","Bronx",2111,857,857,1,840,557,0.6630952381,466,0.2207484604,181,0.08574135481,0,0,1452,0.687825675,14,0.006631927996,645,0.305542397,73,0.08518086348,36005012300,4712,1511,0.3206706282,4712,1358,0.2882003396,4712,249,0.05284380306,59777,0.059777,35314.58588,3140,36,5,12300,1,"Block Group 1","G5030","S",59777,0,40.831337,-73.8916517,"o_360050123001",1353.940695,1117.488,0,20.41666667,18.9,8.583333333,0.9055753568,0.906
"8",360050125001,360050125001,"Block Group 1; Census Tract 125; Bronx County; New York","Bronx",2746,997,839,0.8415245737,1067,406,0.3805060918,1030,0.3750910415,128,0.04661325564,18,0.006554989075,574,0.2090313183,0,0,2116,0.7705753824,320,0.3209628887,36005012500,3989,1188,0.2978190023,4001,571,0.1427143214,4001,190,0.04748812797,100794,0.100794,27243.68514,3340,36,5,12500,1,"Block Group 1","G5030","S",100794,0,40.8280935,-73.8926813,"o_360050125001",1205.026464,971.985,0,17.9,16.41666667,4.65,0.9233178551,0.923
"9",360050127011,360050127011,"Block Group 1; Census Tract 127.01; Bronx County; New York","Bronx",1263,447,412,0.9217002237,380,253,0.6657894737,335,0.2652414885,166,0.1314330958,8,0.006334125099,364,0.288202692,0,0,871,0.6896278702,181,0.4049217002,36005012701,2102,706,0.3358705994,2129,579,0.271958666,2129,151,0.07092531705,40890,0.04089,30887.74762,8095,36,5,12701,1,"Block Group 1","G5030","S",40890,0,40.8260745,-73.8905587,"o_360050127011",1486.701802,891.718,0,18.76666667,15.11666667,3.783333333,0.9274968443,0.927
"10",360050129011,360050129011,"Block Group 1; Census Tract 129.01; Bronx County; New York","Bronx",1985,582,582,1,497,133,0.2676056338,509,0.2564231738,192,0.09672544081,32,0.0161209068,591,0.2977329975,0,0,1321,0.6654911839,46,0.07903780069,36005012901,4754,2143,0.450778292,4921,1654,0.3361105466,4921,253,0.05141231457,79585,0.079585,24941.88603,10401,36,5,12901,1,"Block Group 1","G5030","S",79585,0,40.8230002,-73.897207,"o_360050129011",2275.767894,1562.463,0,30.53333333,26.41666667,1.733333333,0.8769514375,0.877
