,from_id,total_distance,walking_distance,transfers,travel_time_total,walking_time,wait_time_total
1,o_360470001001,1740.890698,1452.612,0,26.16666667,24.7,1.816666667
2,o_360470001002,1523.935634,1345.087,0,23.96666667,22.76666667,4.15
3,o_360470001003,2286.11327,1298.783,0,24.63333333,22.13333333,4.766666667
4,o_360470001004,1673.343414,1091.553,0,19.46666667,18.46666667,2.4
5,o_360470002001,1967.597636,1419.352,0,25.43333333,23.93333333,1.616666667
6,o_360470003011,1611.28789,1037.079,0,20.66666667,17.58333333,2.933333333
7,o_360470003012,1529.93789,955.729,0,19.26666667,16.18333333,4.333333333
8,o_360470003013,1951.233421,1573.52,0,29.25,26.61666667,1.933333333
9,o_360470003014,2253.551864,1862.733,0,33.88333333,31.48333333,2.45
10,o_360470003015,1260.48689,686.278,0,14.66666667,11.58333333,8.933333333
11,o_360470005011,1621.35889,1047.15,0,20.8,17.71666667,2.8
12,o_360470005012,1753.750414,1171.96,0,20.8,19.8,1.066666667
13,o_360470005013,1276.255441,898.921,0,17.1,15.25,2.05
14,o_360470005021,1719.18489,1144.976,0,22.43333333,19.35,1.166666667
15,o_360470005022,717.9603571,595.639,0,10.78333333,10.18333333,1.4
16,o_360470007001,576.1246981,287.846,0,6.383333333,4.916666667,4.6
17,o_360470007002,737.8316981,449.553,0,9.066666667,7.6,1.916666667
18,o_360470007003,447.6516152,325.331,0,6.033333333,5.516666667,2.716666667
19,o_360470009001,1118.689035,601.285,0,12.75,10.15,3.433333333
20,o_360470009002,733.6392455,593.639,0,10.61666667,10.03333333,2.383333333
21,o_360470011001,1197.631035,680.227,0,14.23333333,11.63333333,1.95
22,o_360470013001,1703.797239,1521.802,0,26.7,25.83333333,1.166666667
23,o_360470013002,2950.182315,1185.257,0,26.1,20.1,1.366666667
24,o_360470015011,1530.483735,1295.931,0,23.63333333,22.03333333,2.666666667
25,o_360470015012,1510.365477,1209.279,0,22.45,20.63333333,1.033333333
26,o_360470015021,1087.678737,853.126,0,16.28333333,14.53333333,2.016666667
