,from_id,total_distance,walking_distance,transfers,travel_time_total,walking_time,wait_time_total
1,o_360610002011,1294.883739,1067.296,0,19.75,18.11666667,2.1
2,o_360610002012,1887.846508,1125.124,0,24.83333333,19.08333333,2.05
3,o_360610002021,2267.091673,1076.668,0,23.03333333,18.25,2.316666667
4,o_360610002022,2477.35867,1112.161,0,24.2,18.85,1.15
5,o_360610002023,2339.396673,1148.973,0,24.28333333,19.5,1.066666667
6,o_360610002024,2576.68102,847.335,0,20.98333333,14.4,4.366666667
7,o_360610002025,3375.847529,1374.579,0,26.73333333,23.23333333,5.75
8,o_360610002026,2823.59245,826.163,1,22,14.05,4.35
9,o_360610005001,5193.439474,1461.789,1,32.36666667,25.03333333,5.6
10,o_360610005002,4234.746951,1960.732,0,37.23333333,33.23333333,2.383333333
11,o_360610006001,1182.211727,606.842,0,11.21666667,10.21666667,9.266666667
12,o_360610006002,1404.538727,829.169,0,15,14,5.483333333
13,o_360610006003,1133.550063,968.228,0,17.68333333,16.45,4.166666667
14,o_360610006004,1224.169063,1058.847,0,19.21666667,17.98333333,2.633333333
15,o_360610006005,1369.832727,794.463,0,14.43333333,13.43333333,6.05
16,o_360610006006,1574.471727,999.102,0,17.91666667,16.91666667,2.566666667
17,o_360610007001,1553.055876,614.428,0,13.48333333,10.48333333,2.083333333
18,o_360610007002,1201.04785,831.058,0,15.76666667,14.26666667,1.166666667
19,o_360610007003,664.0508772,305.334,0,6.316666667,5.316666667,1.3
20,o_360610007004,622.0708772,263.354,0,5.55,4.55,2.066666667
21,o_360610007005,1008.85404,484.156,0,9.783333333,8.283333333,4.266666667
22,o_360610007006,1153.00404,628.306,0,12.3,10.8,1.75
23,o_360610007007,987.0974795,546.545,0,11.53333333,9.366666667,3.45
24,o_360610007008,1161.80148,721.249,0,14.66666667,12.5,4.916666667
25,o_360610007009,3916.699951,1642.685,0,32,28,3.616666667
26,o_360610008001,1504.120106,1128.724,0,21.96666667,19.21666667,1.116666667
27,o_360610008002,1432.150371,1194.637,0,21.75,20.3,2
28,o_360610008003,1174.155219,991.358,0,17.81666667,16.91666667,4.083333333
29,o_360610008004,1231.303219,1048.506,0,18.76666667,17.86666667,3.133333333
30,o_360610008005,1285.550219,1102.753,0,19.76666667,18.86666667,2.133333333
31,o_360610008006,1520.943727,945.574,0,17.05,16.05,3.433333333
32,o_360610009001,1011.613877,652.897,0,12.18333333,11.18333333,1.433333333
33,o_360610009002,3674.896074,1759.598,0,32.88333333,29.88333333,3.8
34,o_360610010011,2273.388673,1082.965,0,23.08333333,18.3,2.266666667
35,o_360610010021,1597.334633,1437.343,0,25.53333333,24.46666667,1.983333333
36,o_360610010022,1571.416633,1411.425,0,25.11666667,24.05,2.4
37,o_360610010023,1962.846213,998.577,0,20.96666667,16.91666667,4.383333333
38,o_360610010024,1999.805535,1101.218,0,25.31666667,18.71666667,2.2
39,o_360610010025,1824.655427,1166.728,0,22.83333333,19.83333333,2.516666667
40,o_360610012001,1299.698739,1072.111,0,19.83333333,18.2,2.016666667
41,o_360610012002,1472.74184,1024.265,0,20.68333333,17.43333333,1.166666667
42,o_360610012003,1618.039633,1458.048,0,25.8,24.73333333,1.716666667
43,o_360610013001,1681.156876,742.529,0,15.85,12.85,1.716666667
44,o_360610013002,1996.875506,701.244,0,15.98333333,11.98333333,1.583333333
45,o_360610013003,1556.615876,617.988,0,13.61666667,10.61666667,1.95
46,o_360610013004,1409.781027,841.143,0,15.98333333,14.48333333,1.583333333
47,o_360610013005,1226.310027,657.672,0,12.93333333,11.43333333,2.633333333
48,o_360610014011,1391.687727,816.318,0,14.8,13.8,5.683333333
49,o_360610014012,1148.568739,920.981,0,17.31666667,15.68333333,4.533333333
50,o_360610014021,1042.19699,453.152,0,9.15,7.65,1.883333333
51,o_360610014022,1199.224739,971.637,0,18.13333333,16.5,3.716666667
52,o_360610015011,1417.977027,849.339,0,16.13333333,14.63333333,1.433333333
53,o_360610015012,1013.513219,830.716,0,15.08333333,14.18333333,6.816666667
54,o_360610015013,1122.809219,940.012,0,16.93333333,16.03333333,4.966666667
55,o_360610015021,1095.605027,526.967,0,10.51666667,9.016666667,5.05
56,o_360610015022,1260.080027,691.442,0,13.31666667,11.81666667,2.25
57,o_360610015023,1447.842027,879.204,0,16.46666667,14.96666667,1.1
58,o_360610015024,918.8368772,560.12,0,10.65,9.65,2.966666667
59,o_360610015025,1170.56648,730.014,0,14.65,12.48333333,4.933333333
60,o_360610015026,1191.90648,751.354,0,15.11666667,12.95,4.466666667
61,o_360610015027,1360.311166,1096.621,0,20.15,18.86666667,1.983333333
62,o_360610015028,3483.555951,1209.541,0,24.73333333,20.73333333,4.283333333
63,o_360610016001,1123.411371,885.898,0,16.56666667,15.11666667,7.183333333
64,o_360610016002,1602.095727,1026.726,0,18.43333333,17.43333333,2.05
65,o_360610016003,1420.311727,844.942,0,15.36666667,14.36666667,5.116666667
66,o_360610016004,1413.605727,838.236,0,15.16666667,14.16666667,5.316666667
67,o_360610016005,1346.645727,771.276,0,14.03333333,13.03333333,6.45
68,o_360610018001,814.645489,560.626,0,11.28333333,9.616666667,7.983333333
69,o_360610018002,1623.688727,1048.319,0,18.7,17.7,1.783333333
70,o_360610018003,1054.248241,691.825,0,13.9,11.7,2.45
71,o_360610018004,918.4623774,645.646,0,12.55,10.9,2.016666667
72,o_360610018005,984.0988279,763.755,0,14.38333333,13,3.283333333
73,o_360610018006,1036.292489,782.273,0,15.18333333,13.51666667,4.083333333
74,o_360610018007,924.5143774,651.698,0,12.66666667,11.01666667,1.9
75,o_360610020001,2224.769785,408.654,0,18.58333333,6.9,2.05
76,o_360610020002,2162.465785,346.35,0,17.53333333,5.85,3.1
