,from_id,total_distance,walking_distance,boardings,transfers,travel_time_total,fare,walking_time,wait_time_total
1,o_360810001011,5683.761896,1089.009,2,1,30.43333333,3,18.43333333,8.2
2,o_360810001012,5417.824925,1470.173,2,1,34.8,3,24.8,8.566666667
3,o_360810001021,5589.756896,995.004,2,1,28.86666667,3,16.86666667,9.766666667
4,o_360810001022,5732.928896,1138.176,2,1,31.28333333,3,19.28333333,7.35
5,o_360810001031,4688.543241,1281.593,2,1,30.63333333,3,21.63333333,8
6,o_360810001041,5012.883815,1472.179,2,1,33.83333333,3,24.83333333,9.533333333
7,o_360810002001,11219.26682,1596.471,2,1,50.96666667,3,26.96666667,6.7
8,o_360810002002,10976.86182,1354.066,2,1,46.93333333,3,22.93333333,10.73333333
9,o_360810004001,10678.55948,1670.801,2,1,50.73333333,3,28.23333333,6.933333333
10,o_360810004002,11088.90582,1466.11,2,1,48.8,3,24.8,8.866666667
11,o_360810004003,10847.83292,3241.384,2,1,73.8,3,54.8,9.116666667
12,o_360810006001,11043.57946,1152.925,3,2,44.01666667,3,19.51666667,14.65
13,o_360810006002,11642.14681,1136.455,3,2,45.2,3,19.2,13.46666667
14,o_360810006003,11532.58081,1026.889,3,2,43.41666667,3,17.41666667,15.25
15,o_360810007011,5104.46183,1810.993,2,1,39,3,30.5,9.8
16,o_360810007012,4859.22772,1972.706,2,1,40.83333333,3,33.33333333,7.966666667
17,o_360810007021,4180.437176,2074.771,2,1,40.53333333,3,35.03333333,8.266666667
18,o_360810007022,3945.545241,538.595,2,1,18.15,3,9.15,3.983333333
19,o_360810007023,4492.320271,1732.471,2,1,36.28333333,3,29.28333333,7.083333333
20,o_360810008001,10500.91068,1350.735,3,2,45.36666667,3,22.86666667,13.3
21,o_360810008002,11044.39646,1153.742,3,2,44,3,19.5,14.66666667
22,o_360810010001,10325.08748,1317.329,2,1,44.78333333,3,22.28333333,12.88333333
23,o_360810010002,10611.70348,1603.945,2,1,49.61666667,3,27.11666667,8.05
24,o_360810012001,10491.34348,1483.585,2,1,47.55,3,25.05,10.11666667
25,o_360810012002,10499.36248,1491.604,2,1,47.73333333,3,25.23333333,9.933333333
26,o_360810012003,10537.68648,1529.928,2,1,48.35,3,25.85,9.316666667
27,o_360810014001,9988.976701,1721.697,2,1,49.71666667,3,29.21666667,7.95
28,o_360810014002,10014.40968,864.234,3,2,37.2,3,14.7,10.53333333
29,o_360810014003,9710.672682,560.497,3,2,32.06666667,3,9.566666667,15.66666667
30,o_360810016001,9976.284682,826.109,3,2,36.56666667,3,14.06666667,11.16666667
31,o_360810016002,10283.56768,1133.392,3,2,41.71666667,3,19.21666667,14.01666667
32,o_360810018001,9818.285682,668.11,3,2,33.88333333,3,11.38333333,13.85
33,o_360810018002,5655.549766,1621.245,1,0,39.1,3,27.6,7.716666667
