,from_id,total_distance,walking_distance,transfers,travel_time_total,walking_time,wait_time_total
1,o_360850003001,2868.357494,2352.011,0,42.18333333,39.85,3.6
2,o_360850003002,2436.623921,2193.933,0,38.23333333,37.16666667,7.55
3,o_360850006001,1562.643427,1177.95,0,21.1,19.95,2.816666667
4,o_360850006002,2249.393271,1349.659,0,26.53333333,22.78333333,5.083333333
5,o_360850007001,2785.689668,2462.69,0,42.21666667,41.36666667,8.433333333
6,o_360850007002,3152.799668,2829.8,0,48.43333333,47.58333333,2.216666667
7,o_360850007003,3077.075041,779.124,0,20.75,13.18333333,2.7
8,o_360850007004,3351.584394,1033.524,0,26.81666667,17.41666667,3.333333333
9,o_360850008001,1291.671364,730.498,0,14.03333333,12.35,1.483333333
10,o_360850008002,1768.931067,1438.267,0,25.31666667,24.31666667,6.5
11,o_360850008003,2932.785877,2578.969,0,44.8,43.6,1.05
12,o_360850009001,3075.71067,1274.336,0,29,21.53333333,1.15
13,o_360850009002,3043.058097,1559.083,0,31.11666667,26.35,2.783333333
14,o_360850011001,2998.380072,1054.7,0,25,17.76666667,1.283333333
15,o_360850011002,2820.95808,1293.239,0,28.15,21.81666667,2
16,o_360850011003,3103.63408,1575.915,0,32.91666667,26.58333333,3.7
17,o_360850017001,2335.320841,926.595,0,20.81666667,15.6,2.183333333
18,o_360850017002,3044.229442,2121.616,1,39.86666667,35.88333333,6.916666667
19,o_360850018001,3187.192882,1383.244,0,30.13333333,23.38333333,1.483333333
20,o_360850020011,1897.314503,1005.477,0,19.63333333,16.95,4.283333333
21,o_360850020012,2594.025773,1639.406,0,30.55,27.68333333,1.266666667
22,o_360850020021,3302.809808,876.691,0,22.08333333,14.83333333,1.833333333
23,o_360850020022,3457.636227,2775.164,0,48.86666667,47.01666667,1.466666667
24,o_360850021001,2228.08891,475.444,0,14.56666667,8.05,1.966666667
25,o_360850021002,2242.066539,1959.587,0,34.43333333,33.13333333,1.85
26,o_360850021003,956.9000186,640.83,0,12.28333333,10.88333333,5.733333333
27,o_360850027001,1240.846759,971.923,0,17.8,16.38333333,2.783333333
28,o_360850027002,1466.529631,1171.184,0,20.96666667,19.73333333,1.266666667
29,o_360850029001,1422.965185,1265.606,0,21.96666667,21.3,1.3
30,o_360850029002,975.7190199,659.649,0,12.28333333,11.16666667,4.25
31,o_360850029003,875.5175907,695.427,0,12.3,11.65,8.35
32,o_360850029004,1135.985292,1008.216,0,17.63333333,17,11.35
33,o_360850033001,2196.795033,550.209,0,16.16666667,9.266666667,1.85
34,o_360850033002,2224.37806,1997.172,0,34.66666667,33.65,2.883333333
35,o_360850036001,1472.142364,910.969,0,17.03333333,15.35,1.633333333
36,o_360850036002,1738.856296,528.474,0,12.58333333,8.95,2.933333333
37,o_360850039001,5843.299871,1080.21,1,35.46666667,18.21666667,5.433333333
38,o_360850039002,2843.165416,2681.51,0,45.78333333,45.08333333,2.716666667
39,o_360850040011,854.6008975,585.676,0,10.6,9.8,5.3
40,o_360850040012,1522.764821,717.986,1,14.71666667,12.08333333,5.016666667
41,o_360850040021,2418.289047,2223.91,0,38.31666667,37.61666667,2.433333333
42,o_360850040022,1384.878673,1132.472,0,20.4,19.15,15.41666667
43,o_360850040031,1240.458615,1030.014,0,18.01666667,17.28333333,3.533333333
44,o_360850040032,1582.045615,1371.601,0,23.8,23.06666667,1.083333333
45,o_360850040033,1196.323445,1086.106,0,18.71666667,18.28333333,2.616666667
46,o_360850040041,1907.583673,1655.177,0,29.15,27.9,3.383333333
47,o_360850040042,1596.451193,1427.68,0,24.8,24.08333333,12.93333333
48,o_360850047001,3109.244192,1725.893,0,35.41666667,29.06666667,2
49,o_360850047002,3980.853888,984.942,1,28.36666667,16.71666667,10.28333333
50,o_360850050001,2635.63227,1772.208,0,34.25,29.98333333,1.5
51,o_360850050002,2570.52627,1707.102,0,33.13333333,28.86666667,2.616666667
52,o_360850050003,3422.996159,895.266,1,18.9,15.11666667,13.71666667
53,o_360850059011,1374.143052,1123.815,0,19.83333333,19.01666667,2.15
54,o_360850059012,1954.321075,1830.595,0,31.36666667,30.86666667,3.8
55,o_360850059021,1862.475318,1481.791,0,26.3,25.03333333,2.416666667
56,o_360850064001,3734.573157,550.241,1,22.48333333,9.316666667,10.98333333
57,o_360850064002,3518.089127,1272.598,0,28.18333333,21.48333333,2.2
58,o_360850064003,4016.064703,1225.408,0,29.08333333,20.73333333,1.3
59,o_360850067001,1164.512965,876.047,0,15.55,14.81666667,3.833333333
60,o_360850067002,726.0050583,619.785,0,10.81666667,10.45,3.2
61,o_360850067003,1008.82784,808.154,0,14.4,13.73333333,1.15
62,o_360850070011,5555.497401,1050.016,0,31.76666667,17.78333333,1.966666667
63,o_360850070012,5239.702438,1168.799,0,32.1,19.66666667,1.633333333
64,o_360850070021,4107.913451,1159.47,0,28.3,19.48333333,2.15
65,o_360850070022,4301.716451,1353.273,0,31.6,22.78333333,2.133333333
66,o_360850070023,6515.631029,1378.861,0,39.56666667,23.16666667,1.866666667
67,o_360850070024,5531.012197,1273.572,0,36.13333333,21.38333333,2.016666667
68,o_360850074001,3945.241703,1154.585,0,27.9,19.55,2.483333333
69,o_360850074002,4215.140411,1078.433,0,28.96666667,18.21666667,2.65
70,o_360850074003,4444.240411,1307.533,0,32.76666667,22.01666667,8.666666667
71,o_360850075001,2102.683822,1210.227,0,23.31666667,20.43333333,2.05
72,o_360850075002,1710.129318,1329.445,0,23.71666667,22.45,1.65
73,o_360850075003,1311.11384,1110.44,0,19.45,18.78333333,5.916666667
74,o_360850077001,2157.713944,1339.137,0,25.31666667,22.7,1.416666667
75,o_360850081001,1761.828971,1289.09,0,22.98333333,21.78333333,3.75
76,o_360850081002,1341.832971,869.094,0,15.88333333,14.68333333,10.85
77,o_360850081003,2209.702944,1391.126,0,26.11666667,23.5,3.9
78,o_360850096011,3309.150518,1276.546,0,30.7,21.45,1.766666667
79,o_360850096012,4459.21002,1278.313,0,34.76666667,21.51666667,2.65
80,o_360850096021,4592.53773,1028.308,0,31.18333333,17.25,1.283333333
81,o_360850096022,5437.485322,1168.05,0,36.28333333,19.7,1.133333333
82,o_360850096023,4910.287385,1209.302,0,35.33333333,20.48333333,2.083333333
83,o_360850097011,1850.057503,1141.759,0,20.93333333,19.28333333,2.416666667
84,o_360850097012,1841.802539,1624.877,0,28.46666667,27.46666667,5.75
85,o_360850097013,1230.06462,976.251,0,17.13333333,16.51666667,1.8
86,o_360850097021,1907.791971,1435.053,0,25.5,24.3,1.3
87,o_360850105001,902.6012862,707.527,0,12.75,11.96666667,5.616666667
88,o_360850105002,1251.236419,1116.256,0,19.48333333,18.95,1.233333333
89,o_360850105003,1426.462539,1209.537,0,21.51666667,20.51666667,6.166666667
90,o_360850105004,1941.18934,1743.689,0,30.51666667,29.61666667,6.283333333
91,o_360850105005,1024.398286,829.324,0,14.81666667,14.03333333,3.55
92,o_360850112011,7442.319643,1077.085,0,36.81666667,18.1,1.266666667
93,o_360850112012,6925.171436,1593.036,0,43.91666667,27.01666667,1.466666667
94,o_360850112013,6527.290675,1609.006,0,42.66666667,27.21666667,2.783333333
95,o_360850112014,6970.786643,605.552,0,28.91666667,10.2,5.9
96,o_360850112031,7352.39165,1137.453,0,39.28333333,19.26666667,2.816666667
97,o_360850112032,8290.886572,648.043,0,32.15,10.96666667,2.7
98,o_360850112033,7898.61258,574.202,0,30.26666667,9.683333333,4.583333333
99,o_360850112041,9707.126732,1368.523,0,53.93333333,23.05,3.666666667
100,o_360850112042,8062.11558,737.705,0,33.01666667,12.43333333,1.833333333
101,o_360850114011,6145.895165,714.712,0,29.36666667,12.11666667,1.016666667
102,o_360850114012,5667.948734,1218.665,1,28.4,20.61666667,10.68333333
103,o_360850114021,6319.557892,1023.539,1,27.06666667,17.28333333,5.55
104,o_360850114022,6897.636636,1059.566,0,39.18333333,17.81666667,1.516666667
105,o_360850114023,6193.990241,1123.904,0,38.08333333,19.06666667,2.616666667
106,o_360850121001,1871.680286,1676.606,0,29,28.21666667,5.366666667
107,o_360850121002,2297.916289,763.298,1,19.7,12.93333333,9.2
108,o_360850121003,1550.009695,1343.21,0,23.6,22.78333333,1.133333333
109,o_360850122001,7247.833685,1207.49,1,31.16666667,20.38333333,7.916666667
110,o_360850122002,8019.349936,2721.261,1,64.51666667,45.88333333,5.6
111,o_360850122003,11842.18524,1562.649,1,48.75,26.48333333,7.616666667
112,o_360850122004,6848.602528,773.478,0,35.06666667,12.98333333,2.35
113,o_360850125001,1773.189461,558.377,1,14.23333333,9.416666667,5.133333333
114,o_360850125002,1759.68021,959.376,0,19.3,16.21666667,2.416666667
115,o_360850125003,2493.054628,1506.546,0,29.98333333,25.63333333,2.083333333
116,o_360850128041,8641.762121,1090.517,0,43.15,18.41666667,2.233333333
117,o_360850128042,9690.251883,1650.346,0,57.91666667,27.83333333,3.033333333
118,o_360850128043,9402.188015,2315.308,0,64.68333333,39.05,1.133333333
119,o_360850128051,9935.855959,1178.448,0,47.51666667,19.81666667,1.216666667
120,o_360850128052,11867.19461,1173.322,0,56.2,19.73333333,2.983333333
121,o_360850128053,11057.38787,3568.801,0,85.2,60.2,3.45
122,o_360850128054,12834.74279,940.733,0,56.16666667,15.78333333,1.433333333
123,o_360850128061,9813.921057,1858.109,1,55.16666667,31.28333333,2.75
124,o_360850128062,9466.84338,1031.907,0,44.28333333,17.38333333,4.383333333
125,o_360850128063,10153.1655,1596.438,1,52.53333333,26.93333333,5.383333333
126,o_360850128064,10825.42797,1404.656,0,57.43333333,23.65,3.516666667
127,o_360850128065,10681.8675,2125.14,1,61.48333333,35.88333333,2.966666667
128,o_360850132011,13619.99552,1249.863,1,47.41666667,21.15,8.95
129,o_360850132012,12560.07712,2192.478,1,72.55,37.15,4.333333333
