,from_id,total_distance,walking_distance,transfers,travel_time_total,walking_time,wait_time_total
1,o_360050002001,5569.749367,1358.969,2,40.15,23.11666667,12.05
2,o_360050002002,5230.43562,2268.864,1,53.93333333,38.26666667,5.2
3,o_360050002003,6012.862969,1130.742,2,39.75,19.16666667,12.45
4,o_360050004001,6640.363689,754.017,1,31.9,12.76666667,7.116666667
5,o_360050004002,5519.310367,1308.53,2,39.18333333,22.15,13.01666667
6,o_360050004003,6111.243578,934.865,2,38.05,15.9,14.15
7,o_360050004004,4214.6037,1303.09,1,36.96666667,21.96666667,10.05
8,o_360050016001,4264.470655,1010.007,1,32.98333333,17.15,5.55
9,o_360050016002,4408.614288,1835.849,1,40.83333333,31,7.9
10,o_360050016003,3698.995871,1331.044,1,34.96666667,22.58333333,7.6
11,o_360050016004,4658.9182,1198.36,2,33.35,20.36666667,12.31666667
12,o_360050019011,1804.683844,1281.266,0,23.9,21.63333333,7.3
13,o_360050019021,2937.346628,575.242,1,22.13333333,9.75,5.416666667
14,o_360050019031,3524.070119,329.509,1,21.85,5.566666667,5.7
15,o_360050019032,5400.3292,871.12,1,1,14.75,4.516666667
16,o_360050020011,4352.427138,2478.217,0,46.35,41.85,1.383333333
17,o_360050020012,4606.208733,2131.809,1,43.06666667,35.96666667,5.666666667
18,o_360050020013,4148.122138,2273.912,0,42.91666667,38.41666667,4.816666667
19,o_360050020021,4241.390138,2367.18,0,44.6,40.1,3.133333333
20,o_360050020022,4485.508184,2272.29,1,44.3,38.33333333,4.433333333
21,o_360050020023,4007.805138,2133.595,0,40.63333333,36.13333333,7.1
22,o_360050023001,1514.082779,901.283,0,16.78333333,15.28333333,2.983333333
23,o_360050023002,1614.582779,1001.783,0,18.53333333,17.03333333,1.233333333
24,o_360050023003,1620.619031,1268.78,0,24.05,21.41666667,6.2
25,o_360050024001,5418.949594,2129.356,0,52.61666667,36,2.983333333
26,o_360050025001,2056.672543,847.026,1,22.96666667,14.26666667,3.633333333
27,o_360050025002,2638.357444,731.842,1,21.95,12.3,5.6
28,o_360050025003,2070.747742,1270.066,0,24.53333333,21.53333333,2.016666667
29,o_360050025004,2050.334742,1249.653,0,24.16666667,21.16666667,2.383333333
30,o_360050025005,2264.848804,724.567,1,19.18333333,12.26666667,8.366666667
31,o_360050027011,2529.257367,497.788,1,22.61666667,8.45,3.983333333
32,o_360050027012,2599.223444,692.708,1,21.33333333,11.68333333,6.216666667
33,o_360050027021,2200.182575,1051.763,0,23.76666667,17.65,1.516666667
34,o_360050027022,2416.558367,385.089,1,20.63333333,6.466666667,5.966666667
35,o_360050027023,2257.831184,681.951,1,22.88333333,11.45,3.716666667
36,o_360050027024,1990.495874,1099.072,0,23.1,18.48333333,2.183333333
37,o_360050028001,3206.250423,1423.813,1,33.33333333,24.05,7.216666667
38,o_360050028002,3957.781693,1469.632,1,36.5,24.83333333,4.05
39,o_360050028003,3331.706423,1549.269,1,35.45,26.16666667,5.1
40,o_360050028004,3500.863454,1430.247,1,34.36666667,24.11666667,6.183333333
41,o_360050031001,2053.991028,1866.555,0,32.58333333,31.48333333,1.033333333
42,o_360050033001,2160.687027,1697.612,0,31.75,28.66666667,1.033333333
43,o_360050033002,1875.387201,1592.648,0,28.78333333,26.9,4
44,o_360050033003,1714.658201,1431.919,0,26.05,24.16666667,6.733333333
45,o_360050035001,1862.070825,545.426,0,16.2,9.1,1.083333333
46,o_360050035002,1406.011028,1218.575,0,21.65,20.55,3.966666667
47,o_360050035003,1707.076575,558.657,0,15.53333333,9.416666667,1.75
48,o_360050037001,1499.779874,608.356,0,14.86666667,10.25,2.416666667
49,o_360050038001,4141.230138,2267.02,0,42.96666667,38.46666667,4.766666667
50,o_360050039001,2063.708543,854.062,1,23.05,14.35,3.55
51,o_360050039002,1803.908695,987.2,0,22.91666667,16.68333333,2.166666667
52,o_360050039003,1564.312742,763.631,0,16.06666667,13.06666667,1.983333333
53,o_360050039004,1430.362549,1136.702,0,21.2,19.11666667,4.4
54,o_360050039005,1465.370549,1171.71,0,21.78333333,19.7,3.816666667
55,o_360050040011,3197.288878,1418.354,0,28.01666667,24.01666667,3.466666667
56,o_360050041001,1502.888549,1209.228,0,22.36666667,20.28333333,3.233333333
57,o_360050041002,1723.238346,925.447,0,17.71666667,15.71666667,1.833333333
58,o_360050041003,1054.429643,772.296,0,14.15,13.16666667,3.133333333
59,o_360050041004,1089.415643,807.282,0,14.68333333,13.7,2.6
60,o_360050042001,4841.342988,921.171,1,26.03333333,15.58333333,6.45
61,o_360050042002,3890.933531,1681.421,0,40.15,28.6,1.966666667
