GEOID_TEXT,GEOID,NAME,borough,total_population,total_households,no_vehicle_households,no_vehicle_rate,total_workers_16_plus,public_transit_workers,public_transit_commute_rate,under_18_population,under_18_rate,age_65_plus_population,age_65_plus_rate,white_non_hispanic_population,white_non_hispanic_rate,black_non_hispanic_population,black_non_hispanic_rate,asian_non_hispanic_population,asian_non_hispanic_rate,hispanic_population,hispanic_rate,limited_english_households,limited_english_rate
360050115021,360050115021,Block Group 1; Census Tract 115.02; Bronx County; New York,Bronx,1538,482,443,0.9190871369294605,506,359,0.7094861660079052,288,0.18725617685305593,159,0.1033810143042913,15,0.00975292587776333,308,0.20026007802340703,0,0.0,1179,0.7665799739921977,222,0.4605809128630705
360050117011,360050117011,Block Group 1; Census Tract 117.01; Bronx County; New York,Bronx,1262,474,450,0.9493670886075949,443,276,0.6230248306997742,369,0.29239302694136293,120,0.09508716323296355,0,0.0,207,0.16402535657686212,0,0.0,1022,0.8098256735340729,16,0.03375527426160337
360050118001,360050118001,Block Group 1; Census Tract 118; Bronx County; New York,Bronx,2721,549,217,0.39526411657559196,942,123,0.1305732484076433,429,0.15766262403528114,235,0.08636530687247336,1516,0.5571481073134877,48,0.017640573318632856,115,0.04226387357589122,837,0.30760749724366043,0,0.0
360050119001,360050119001,Block Group 1; Census Tract 119; Bronx County; New York,Bronx,2198,699,699,1.0,958,591,0.6169102296450939,488,0.22202001819836215,422,0.19199272065514103,182,0.08280254777070063,1040,0.4731574158325751,0,0.0,809,0.3680618744313012,146,0.2088698140200286
360050121011,360050121011,Block Group 1; Census Tract 121.01; Bronx County; New York,Bronx,1246,377,354,0.9389920424403183,384,333,0.8671875,359,0.2881219903691814,151,0.12118780096308186,9,0.0072231139646869984,230,0.18459069020866772,0,0.0,998,0.8009630818619583,81,0.21485411140583555
360050121021,360050121021,Block Group 1; Census Tract 121.02; Bronx County; New York,Bronx,1429,572,558,0.9755244755244755,399,268,0.6716791979949874,320,0.22393282015395383,293,0.20503848845346395,17,0.011896431070678797,342,0.23932820153953813,0,0.0,1027,0.7186843946815955,81,0.14160839160839161
360050123001,360050123001,Block Group 1; Census Tract 123; Bronx County; New York,Bronx,2111,857,857,1.0,840,557,0.6630952380952381,466,0.2207484604452866,181,0.08574135480814779,0,0.0,1452,0.6878256750355282,14,0.006631927996210327,645,0.30554239696826146,73,0.08518086347724621
360050125001,360050125001,Block Group 1; Census Tract 125; Bronx County; New York,Bronx,2746,997,839,0.8415245737211635,1067,406,0.380506091846298,1030,0.37509104151493083,128,0.04661325564457393,18,0.0065549890750182084,574,0.2090313182811362,0,0.0,2116,0.7705753823743627,320,0.320962888665998
360050127011,360050127011,Block Group 1; Census Tract 127.01; Bronx County; New York,Bronx,1263,447,412,0.9217002237136466,380,253,0.6657894736842105,335,0.26524148851939827,166,0.13143309580364212,8,0.006334125098970704,364,0.28820269200316706,0,0.0,871,0.6896278701504355,181,0.40492170022371365
360050129011,360050129011,Block Group 1; Census Tract 129.01; Bronx County; New York,Bronx,1985,582,582,1.0,497,133,0.2676056338028169,509,0.25642317380352647,192,0.09672544080604534,32,0.016120906801007556,591,0.2977329974811083,0,0.0,1321,0.6654911838790932,46,0.07903780068728522
360050130001,360050130001,Block Group 1; Census Tract 130; Bronx County; New York,Bronx,1388,472,249,0.527542372881356,666,99,0.14864864864864866,40,0.02881844380403458,278,0.20028818443804033,345,0.24855907780979827,0,0.0,16,0.011527377521613832,1027,0.7399135446685879,72,0.15254237288135594
360050131001,360050131001,Block Group 1; Census Tract 131; Bronx County; New York,Bronx,1438,877,877,1.0,427,304,0.711943793911007,328,0.22809457579972184,184,0.12795549374130738,15,0.01043115438108484,582,0.4047287899860918,0,0.0,768,0.5340751043115438,181,0.2063854047890536
360050132001,360050132001,Block Group 1; Census Tract 132; Bronx County; New York,Bronx,1210,399,269,0.6741854636591479,609,173,0.28407224958949095,445,0.3677685950413223,137,0.11322314049586776,19,0.015702479338842976,594,0.4909090909090909,99,0.08181818181818182,498,0.4115702479338843,43,0.10776942355889724
360050133001,360050133001,Block Group 1; Census Tract 133; Bronx County; New York,Bronx,2625,1077,1077,1.0,726,394,0.5426997245179064,622,0.23695238095238094,343,0.13066666666666665,0,0.0,506,0.19276190476190477,0,0.0,1990,0.758095238095238,151,0.14020427112349118
360050135001,360050135001,Block Group 1; Census Tract 135; Bronx County; New York,Bronx,515,112,105,0.9375,60,13,0.21666666666666667,282,0.5475728155339806,0,0.0,0,0.0,0,0.0,0,0.0,515,1.0,83,0.7410714285714286
360050138001,360050138001,Block Group 1; Census Tract 138; Bronx County; New York,Bronx,1843,732,224,0.30601092896174864,756,96,0.12698412698412698,467,0.25339120998372217,392,0.21269669017905588,1223,0.6635919696147585,0,0.0,69,0.037438958220293,526,0.2854042322300597,8,0.01092896174863388
360050141001,360050141001,Block Group 1; Census Tract 141; Bronx County; New York,Bronx,2887,1050,1038,0.9885714285714285,1064,789,0.7415413533834586,992,0.34360928299272603,87,0.03013508832698303,125,0.04329754069968826,1347,0.4665742985798407,0,0.0,1415,0.49012816072047105,93,0.08857142857142856
360050143001,360050143001,Block Group 1; Census Tract 143; Bronx County; New York,Bronx,1647,743,743,1.0,485,181,0.3731958762886598,377,0.22890103217972071,197,0.1196114146933819,34,0.020643594414086218,516,0.3132969034608379,116,0.07043108682452945,917,0.5567698846387371,144,0.19380888290713325
360050144001,360050144001,Block Group 1; Census Tract 144; Bronx County; New York,Bronx,477,419,419,1.0,15,0,0.0,47,0.09853249475890985,430,0.9014675052410901,40,0.08385744234800839,48,0.10062893081761007,0,0.0,372,0.779874213836478,130,0.31026252983293556
360050145001,360050145001,Block Group 1; Census Tract 145; Bronx County; New York,Bronx,1825,846,846,1.0,492,184,0.37398373983739835,336,0.1841095890410959,500,0.273972602739726,29,0.01589041095890411,1137,0.623013698630137,0,0.0,644,0.3528767123287671,69,0.08156028368794327
360050147011,360050147011,Block Group 1; Census Tract 147.01; Bronx County; New York,Bronx,2778,988,988,1.0,903,590,0.6533776301218162,973,0.35025197984161266,152,0.054715622750179986,0,0.0,1451,0.5223182145428366,0,0.0,363,0.1306695464362851,39,0.039473684210526314
360050147021,360050147021,Block Group 1; Census Tract 147.02; Bronx County; New York,Bronx,1095,497,497,1.0,278,278,1.0,254,0.2319634703196347,327,0.29863013698630136,0,0.0,230,0.2100456621004566,0,0.0,839,0.7662100456621005,67,0.13480885311871227
360050149001,360050149001,Block Group 1; Census Tract 149; Bronx County; New York,Bronx,1838,561,561,1.0,331,315,0.9516616314199395,1005,0.5467899891186072,168,0.09140369967355821,24,0.013057671381936888,754,0.4102285092491839,0,0.0,1060,0.5767138193688792,103,0.1836007130124777
360050151001,360050151001,Block Group 1; Census Tract 151; Bronx County; New York,Bronx,757,197,197,1.0,247,69,0.2793522267206478,247,0.32628797886393657,43,0.05680317040951123,24,0.031704095112285335,556,0.7344782034346103,0,0.0,177,0.23381770145310435,37,0.18781725888324874
360050152001,360050152001,Block Group 1; Census Tract 152; Bronx County; New York,Bronx,1030,336,136,0.40476190476190477,389,65,0.16709511568123395,266,0.258252427184466,152,0.14757281553398058,408,0.39611650485436894,106,0.1029126213592233,0,0.0,392,0.38058252427184464,61,0.18154761904761904
360050153001,360050153001,Block Group 1; Census Tract 153; Bronx County; New York,Bronx,2032,1080,986,0.912962962962963,577,233,0.4038128249566724,580,0.2854330708661417,250,0.12303149606299213,0,0.0,822,0.4045275590551181,0,0.0,1162,0.5718503937007874,123,0.11388888888888889
360050155001,360050155001,Block Group 1; Census Tract 155; Bronx County; New York,Bronx,2388,828,811,0.9794685990338164,963,667,0.6926272066458983,624,0.2613065326633166,309,0.12939698492462312,3,0.001256281407035176,619,0.259212730318258,0,0.0,1766,0.7395309882747069,172,0.20772946859903382
360050158001,360050158001,Block Group 1; Census Tract 158; Bronx County; New York,Bronx,1490,534,281,0.5262172284644194,667,199,0.2983508245877061,220,0.1476510067114094,375,0.2516778523489933,434,0.2912751677852349,111,0.07449664429530202,94,0.06308724832214765,851,0.5711409395973155,59,0.1104868913857678
360050159001,360050159001,Block Group 1; Census Tract 159; Bronx County; New York,Bronx,1415,626,600,0.9584664536741214,627,114,0.18181818181818182,325,0.22968197879858657,261,0.18445229681978798,7,0.0049469964664310955,111,0.0784452296819788,0,0.0,1297,0.9166077738515901,194,0.30990415335463256
360050160001,360050160001,Block Group 1; Census Tract 160; Bronx County; New York,Bronx,1407,707,352,0.49787835926449786,688,166,0.24127906976744187,87,0.06183368869936034,473,0.3361762615493959,671,0.47690120824449184,15,0.010660980810234541,61,0.0433546552949538,660,0.4690831556503198,36,0.05091937765205092
