TRACT_GEOID,borough,tract_poverty_universe,tract_below_poverty_population,tract_poverty_rate,tract_disability_universe,tract_disabled_population,tract_disability_rate,tract_insurance_universe,tract_uninsured_population,tract_uninsured_rate
36005000100,Bronx,0,0,,0,0,,0,0,
36005000200,Bronx,5061,652,0.12882829480339852,5061,702,0.13870776526378187,5061,287,0.056708160442600276
36005000400,Bronx,6649,297,0.04466837118363664,6649,935,0.14062265002255978,6649,137,0.02060460219581892
36005001600,Bronx,5329,808,0.15162319384499906,5412,1105,0.20417590539541758,5412,152,0.028085735402808575
36005001901,Bronx,2258,507,0.22453498671390612,2259,401,0.17751217352810977,2259,255,0.11288180610889774
36005001902,Bronx,2040,807,0.39558823529411763,2069,253,0.12228129531174481,2069,306,0.14789753504108266
36005001903,Bronx,0,0,,0,0,,0,0,
36005001904,Bronx,0,0,,0,0,,0,0,
36005002001,Bronx,4113,2155,0.523948456114758,4199,1211,0.2884020004763039,4199,225,0.053584186711121695
36005002002,Bronx,3551,1526,0.4297381019431146,3609,1171,0.32446661124965365,3609,322,0.08922139096702687
36005002300,Bronx,4567,2754,0.6030216772498358,4567,1208,0.26450624042040727,4567,403,0.08824173417998686
36005002400,Bronx,105,78,0.7428571428571429,105,14,0.13333333333333333,105,0,0.0
36005002500,Bronx,5111,2292,0.44844453140285656,5117,975,0.19054133281219465,5117,555,0.10846198944694156
36005002701,Bronx,3083,1441,0.4674018812844632,3111,754,0.2423657987785278,3111,312,0.10028929604628736
36005002702,Bronx,4788,2206,0.46073517126148705,4798,997,0.20779491454772822,4798,756,0.15756565235514797
36005002800,Bronx,5462,449,0.08220432076162577,5462,1376,0.2519223727572318,5462,235,0.04302453313804467
36005003100,Bronx,2788,612,0.21951219512195122,2788,282,0.10114777618364419,2788,144,0.05164992826398852
36005003300,Bronx,3577,1547,0.4324853228962818,3577,607,0.16969527537042214,3577,108,0.030192899077439196
36005003500,Bronx,3481,780,0.2240735420856076,3481,980,0.2815282964665326,3481,235,0.0675093363975869
36005003700,Bronx,387,116,0.2997416020671835,418,82,0.19617224880382775,418,48,0.11483253588516747
36005003800,Bronx,1210,391,0.3231404958677686,1250,209,0.1672,1250,60,0.048
36005003900,Bronx,5567,2065,0.37093587210346685,5581,1159,0.20766887654542196,5581,488,0.08743952696649346
36005004001,Bronx,1294,111,0.08578052550231839,1294,161,0.12442040185471406,1294,93,0.07187017001545595
36005004100,Bronx,6143,3311,0.5389874654077812,6105,1726,0.2827190827190827,6105,330,0.05405405405405406
36005004200,Bronx,7755,1214,0.15654416505480334,7724,1165,0.150828586224754,7724,364,0.047125841532884516
36005004300,Bronx,5400,2546,0.4714814814814815,5400,1508,0.27925925925925926,5400,131,0.024259259259259258
36005004400,Bronx,4118,1573,0.3819815444390481,4118,591,0.14351627003399708,4118,201,0.04881010199125789
36005004600,Bronx,1403,721,0.5138987883107626,1478,389,0.2631935047361299,1478,40,0.02706359945872801
36005004800,Bronx,4204,1072,0.25499524262607043,4204,496,0.11798287345385347,4204,850,0.2021883920076118
36005005001,Bronx,4852,2714,0.5593569661995054,4878,593,0.12156621566215663,4878,621,0.12730627306273062
36005005002,Bronx,6151,2360,0.38367745082100474,6275,499,0.0795219123505976,6275,1423,0.22677290836653385
36005005100,Bronx,7261,2772,0.38176559702520313,7261,2208,0.3040903456824129,7261,175,0.024101363448560804
36005005200,Bronx,1837,696,0.3788786064235166,1837,317,0.17256396298312465,1837,166,0.09036472509526401
36005005300,Bronx,4065,2597,0.6388683886838868,4065,963,0.23690036900369005,4065,119,0.02927429274292743
36005005400,Bronx,5482,1362,0.24844947099598685,5482,428,0.07807369573148486,5482,738,0.13462240058372857
36005005600,Bronx,2501,1093,0.4370251899240304,2501,321,0.1283486605357857,2501,238,0.09516193522590964
